40732966	Tamara Dahlen	Ontario	Ontario	Corporate
68464052	Bill Donatelli	Ontario	Ontario	Corporate
63834266	Christy Brittain	British Columbia	West	Consumer
38512011	Barry Blumstein	British Columbia	West	Small Business
82335880	Aleksandra Gannaway	New Brunswick	Atlantic	Corporate
58046234	Paul Prost	Ontario	Ontario	Corporate
9130094	Russell Applegate	Ontario	Ontario	Home Office
60559394	Pauline Webber	Alberta	West	Consumer
21939120	Greg Guthrie	Prince Edward Island	Atlantic	Small Business
75726086	Sheri Gordon	Quebec	Quebec	Corporate
94530777	Erin Smith	Ontario	Ontario	Home Office
21258025	Andy Yotov	Ontario	Ontario	Corporate
45311141	Carl Weiss	Alberta	West	Consumer
78224739	Noel Staavos	Quebec	Quebec	Home Office
30578487	Aaron Hawkins	British Columbia	West	Home Office
85111166	Annie Thurman	Alberta	West	Consumer
79674261	Ted Trevino	Ontario	Ontario	Corporate
74639533	Tamara Chand	Ontario	Ontario	Consumer
28257713	Tom Prescott	British Columbia	West	Small Business
14649835	Fred Chung	Quebec	Quebec	Corporate
99328710	Eileen Kiefer	Ontario	Ontario	Consumer
23051437	Hilary Holden	Prince Edward Island	Atlantic	Corporate
104239922	Lynn Smith	New Brunswick	Atlantic	Corporate
44905147	Dan Reichenbach	Prince Edward Island	Atlantic	Corporate
17033987	Sonia Sunley	British Columbia	West	Corporate
8480164	Julie Kriz	Manitoba	Prarie	Corporate
84795584	Carlos Soltero	Northwest Territories	Northwest Territories	Small Business
63582475	Xylona Price	Ontario	Ontario	Corporate
2717381	Cindy Schnelling	Northwest Territories	Northwest Territories	Corporate
69563791	Matthew Grinstein	Alberta	West	Small Business
87034117	Marina Lichtenstein	British Columbia	West	Corporate
25507147	Art Ferguson	Nova Scotia	Atlantic	Corporate
47450738	Victoria Wilson	Ontario	Ontario	Home Office
16666221	Deanra Eno	Yukon	Yukon	Corporate
96327900	Jocasta Rupert	New Brunswick	Atlantic	Consumer
38344188	Kristina Nunn	British Columbia	West	Consumer
59981908	Meg O'Connel	Ontario	Ontario	Corporate
89759693	Barry Weirich	Nunavut	Nunavut	Corporate
56764115	Jim Epp	New Brunswick	Atlantic	Small Business
44817590	Odella Nelson	Ontario	Ontario	Small Business
48076280	Trudy Brown	Saskachewan	Prarie	Small Business
80727603	Amy Hunt	Saskachewan	Prarie	Home Office
20148851	Thea Hendricks	Yukon	Yukon	Home Office
